MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2015,Maruti,Swift VXI,Manual,"62,969 km",PetrolUP-80,1st Owner,"₹3,93,299"
2019,Maruti,Baleno DELTA 1.2 K12,Manual,"29,108 km",PetrolUP-16,2nd Owner,"₹5,23,499"
2016,Maruti,Baleno DELTA PETROL 1.2,,"57,529 km",PetrolDL-4C,2nd Owner,"₹4,34,299"
2021,Maruti,Baleno ZETA 1.2 K12 CVT,Automatic,"9,468 km",PetrolDL-10,1st Owner,"₹9,48,799"
2022,Maruti,Swift VXI,Manual,"7,638 km",PetrolDL-5C,1st Owner,"₹6,90,499"
2010,Maruti,Alto LXI,Manual,"48,178 km",PetrolHR-26,2nd Owner,"₹1,67,499"
2019,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"20,539 km",PetrolDL-12,1st Owner,"₹8,17,599"
2020,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"18,634 km",PetrolHR-23,1st Owner,"₹10,22,699"
2021,Maruti,Alto LXI CNG,Manual,"20,206 km",Petrol + CNGHR-98,1st Owner,"₹5,05,399"
2021,Toyota,YARIS J MT,Manual,"8,461 km",PetrolDL-10,1st Owner,"₹10,54,099"
2020,Toyota,YARIS G MT,Manual,"72,495 km",PetrolHR-36,1st Owner,"₹9,36,999"
2020,Toyota,Glanza G CVT,Automatic,"6,550 km",PetrolDL-3C,1st Owner,"₹8,59,199"
2013,Toyota,Etios V SP,Manual,"36,015 km",PetrolHR-26,1st Owner,"₹3,90,599"
2014,Toyota,Etios G,Manual,"38,255 km",PetrolDL-3C,1st Owner,"₹4,11,899"
2020,Toyota,YARIS J CVT,Automatic,"9,256 km",PetrolDL-3C,2nd Owner,"₹9,72,599"
2021,Toyota,Glanza G CVT,Automatic,"8,466 km",PetrolHR-98,1st Owner,"₹8,76,899"
2022,Toyota,URBAN CRUISER MID MT,,"4,229 km",PetrolUP-14,1st Owner,"₹9,25,899"
2020,Toyota,URBAN CRUISER Premium AT,,"22,874 km",PetrolHR-20,2nd Owner,"₹11,50,399"
2018,Toyota,Corolla Altis VL AT,Automatic,"65,783 km",PetrolDL-1C,1st Owner,"₹14,89,299"
2019,Toyota,Etios Liva V,Manual,"31,645 km",PetrolDL-14,1st Owner,"₹4,96,099"
2014,Toyota,Corolla Altis VL AT,Automatic,"89,401 km",PetrolHR-26,1st Owner,"₹8,77,699"
2018,Toyota,Innova Crysta 2.7 ZX AT 7 STR,Automatic,"28,300 km",PetrolDL-10,1st Owner,"₹18,86,899"
2017,Toyota,Corolla Altis GL,Manual,"44,929 km",PetrolDL-10,2nd Owner,"₹12,22,799"
2017,Toyota,Corolla Altis G AT,Automatic,"75,764 km",PetrolDL-10,1st Owner,"₹13,23,999"
2021,Toyota,URBAN CRUISER HIGH AT,,"6,972 km",PetrolHR-51,1st Owner,"₹11,19,899"
2017,Toyota,Innova Crysta 2.8 ZX AT 7 STR,Automatic,"85,182 km",DieselHR-51,1st Owner,"₹17,20,699"
2014,Toyota,Etios Liva G,Manual,"25,753 km",PetrolDL-8C,2nd Owner,"₹3,24,599"
2020,Toyota,URBAN CRUISER PREMIUM MT,,"44,379 km",PetrolHR-26,1st Owner,"₹9,24,799"
2020,Toyota,Innova Crysta 2.4 ZX AT,Automatic,"31,893 km",DieselHR-26,1st Owner,"₹22,78,599"
2020,Toyota,Innova Crysta 2.4 ZX AT,Automatic,"31,893 km",DieselHR-26,1st Owner,"₹22,78,599"
2020,Mahindra,Scorpio S11,Manual,"56,696 km",DieselUP-32,1st Owner,"₹14,79,299"
2020,Mahindra,XUV500 W5,Manual,"19,365 km",DieselUP-14,1st Owner,"₹12,21,399"
2018,Mahindra,XUV500 W11 (O) AT,Automatic,"55,280 km",DieselHR-26,2nd Owner,"₹13,81,899"
2016,Mahindra,Scorpio S10,Manual,"43,912 km",DieselDL-12,1st Owner,"₹9,90,599"
2019,Mahindra,XUV500 W9,Manual,"91,773 km",DieselHR-36,1st Owner,"₹12,29,199"
2018,Mahindra,Scorpio S3 2WD,Manual,"57,534 km",DieselDL-8C,1st Owner,"₹9,42,899"
2019,Mahindra,Bolero Power+ ZLX,Manual,"29,851 km",DieselUP-16,1st Owner,"₹8,32,199"
2021,Mahindra,XUV500 W9 AT,Automatic,"21,875 km",DieselUP-16,1st Owner,"₹16,30,299"
2021,Mahindra,Thar LX D 4*4 MT HT,Manual,"6,962 km",DieselHR-26,1st Owner,"₹17,02,699"
2020,Mahindra,Scorpio S9,Manual,"26,932 km",DieselUP-14,1st Owner,"₹14,08,099"
2018,Mahindra,XUV500 W9 AT,Automatic,"60,491 km",DieselUP-14,1st Owner,"₹10,75,999"
2017,Mahindra,Scorpio S10 Intelli Hybrid 2WD,Manual,"42,995 km",DieselUP-32,2nd Owner,"₹10,63,099"
2018,Mahindra,Scorpio S7 120 BHP 2WD,Manual,"42,679 km",DieselUP-72,1st Owner,"₹9,81,899"
2020,Mahindra,XUV500 W5,Manual,"28,389 km",DieselUP-14,1st Owner,"₹11,95,099"
2021,Mahindra,Scorpio S11,Manual,"10,794 km",DieselHR-10,1st Owner,"₹16,84,999"
2015,Mahindra,Scorpio S10,Manual,"44,092 km",DieselDL-7C,1st Owner,"₹9,20,499"
2018,Mahindra,XUV500 W11 (O),Manual,"48,707 km",DieselUP-16,1st Owner,"₹12,57,999"
2022,Mahindra,Thar LX PETROL HT 4WD AT,,"3,861 km",PetrolHR-16,1st Owner,"₹16,43,999"
2021,Mahindra,Thar LX  4WD AT CONVERTIBLE,Automatic,"18,128 km",PetrolHR-21,1st Owner,"₹16,31,699"
2021,Mahindra,Scorpio S11,Manual,"14,445 km",DieselUP-44,2nd Owner,"₹17,86,599"
2017,Mahindra,Scorpio S10 Intelli Hybrid 2WD,Manual,"42,995 km",DieselUP-32,2nd Owner,"₹10,63,099"
2021,Mahindra,Scorpio S11,Manual,"10,794 km",DieselHR-10,1st Owner,"₹16,84,999"
2018,Mahindra,Scorpio S7 120 BHP 2WD,Manual,"42,679 km",DieselUP-72,1st Owner,"₹9,81,899"
2020,Mahindra,XUV500 W5,Manual,"28,389 km",DieselUP-14,1st Owner,"₹11,95,099"
2015,Mahindra,Scorpio S10,Manual,"44,092 km",DieselDL-7C,1st Owner,"₹9,20,499"
2018,Mahindra,XUV500 W11 (O),Manual,"48,707 km",DieselUP-16,1st Owner,"₹12,57,999"
2022,Mahindra,Thar LX PETROL HT 4WD AT,,"3,861 km",PetrolHR-16,1st Owner,"₹16,43,999"
2019,Mahindra,XUV500 W7 FWD,Manual,"84,264 km",DieselUP-32,2nd Owner,"₹9,51,999"
2019,Mahindra,TUV300 T8,Manual,"57,567 km",DieselUP-16,1st Owner,"₹8,50,399"
2017,Mahindra,Scorpio S10,Manual,"52,999 km",DieselHR-51,1st Owner,"₹9,50,499"
2018,Mahindra,KUV 100 NXT K2 D 6S,Manual,"65,179 km",DieselDL-10,1st Owner,"₹4,42,899"
2020,Mahindra,XUV 3OO 1.2 W6 MT,,"30,557 km",PetrolDL-10,1st Owner,"₹9,26,199"
2022,Mahindra,XUV 3OO 1.2 W6 AT,,"22,158 km",PetrolDL-1C,1st Owner,"₹10,63,499"
2019,Mahindra,XUV 3OO 1.5 W6 MT,Manual,"40,883 km",DieselUP-14,1st Owner,"₹8,61,199"
2019,Mahindra,XUV 3OO W8(O),Manual,"84,472 km",DieselDL-8C,1st Owner,"₹8,69,999"
2020,Mahindra,KUV 100 NXT K8 6 STR,Manual,"26,674 km",PetrolDL-8C,1st Owner,"₹6,94,399"
2021,Tata,ALTROZ XZ 1.5 RTQ,,"22,949 km",DieselHR-36,1st Owner,"₹8,08,699"
2018,Tata,NEXON XT1.5,Manual,"75,679 km",DieselHR-10,1st Owner,"₹6,94,499"
2021,Tata,NEXON XZ+ 1.5,Manual,"7,082 km",DieselUP-16,1st Owner,"₹11,64,899"
2021,Tata,TIGOR XZ PLUS 1.2 REVOTRON,Manual,"9,553 km",PetrolUP-14,1st Owner,"₹7,74,799"
2018,Tata,Tiago XZA 1.2 REVOTRON,Automatic,"52,957 km",PetrolDL-3C,1st Owner,"₹5,43,899"
2022,Tata,NEXON XZ+ 1.5,Manual,"10,412 km",DieselHR-26,1st Owner,"₹12,07,299"
2020,Tata,ALTROZ XZ 1.2,Manual,"16,787 km",PetrolHR-26,1st Owner,"₹8,14,599"
2022,Tata,Tiago XT CNG 1.2 RTN,,"7,537 km",Petrol + CNGUP-14,1st Owner,"₹7,24,799"
2020,Tata,ALTROZ XZ 1.2,Manual,"23,053 km",PetrolHR-26,1st Owner,"₹7,44,299"
2019,Tata,Tiago XZ 1.2 REVOTRON,Manual,"7,831 km",PetrolDL-2C,1st Owner,"₹5,20,699"
2019,Tata,NEXON XMA 1.5,Manual,"93,992 km",DieselDL-8C,1st Owner,"₹6,58,799"
2021,Tata,Harrier XT+ Dark Edition,,"5,330 km",DieselUP-14,1st Owner,"₹20,25,199"
2020,Tata,Harrier XZ DARK EDITION,Manual,"28,625 km",DieselHR-26,2nd Owner,"₹14,83,799"
2019,Tata,Harrier XM 2.0L Kryotec,Manual,"49,212 km",DieselHR-26,1st Owner,"₹12,17,599"
2020,Tata,TIGOR XZ 1.2 REVOTRON,Manual,"49,481 km",Petrol + CNGHR-36,1st Owner,"₹6,10,799"
2021,Tata,Harrier XT+ 2.0 KRYOTEC,Manual,"21,245 km",DieselDL-3C,1st Owner,"₹17,01,649"
2021,Tata,Tiago XZ 1.2 REVOTRON,Manual,"27,497 km",PetrolHR-51,1st Owner,"₹5,90,399"
2021,Tata,Safari XM 2.0 KRYOTEC,Manual,"12,819 km",DieselHR-26,1st Owner,"₹16,31,999"
2022,Tata,Safari XT+2.0 KRYOTEC,Manual,"6,131 km",DieselHR-51,1st Owner,"₹20,35,499"
2021,Tata,Harrier XZ 2.0L Kryotec,Manual,"10,391 km",DieselHR-10,1st Owner,"₹18,61,749"
2020,Tata,ALTROZ XZ 1.2,Manual,"23,053 km",PetrolHR-26,1st Owner,"₹7,44,299"
2019,Tata,Tiago XZ 1.2 REVOTRON,Manual,"7,831 km",PetrolDL-2C,1st Owner,"₹5,20,699"
2019,Tata,NEXON XMA 1.5,Manual,"93,992 km",DieselDL-8C,1st Owner,"₹6,58,799"
2021,Tata,Harrier XT+ Dark Edition,,"5,330 km",DieselUP-14,1st Owner,"₹20,25,199"
2020,Tata,Harrier XZ DARK EDITION,Manual,"28,625 km",DieselHR-26,2nd Owner,"₹14,83,799"
2019,Tata,Harrier XM 2.0L Kryotec,Manual,"49,212 km",DieselHR-26,1st Owner,"₹12,17,599"
2020,Tata,TIGOR XZ 1.2 REVOTRON,Manual,"49,481 km",Petrol + CNGHR-36,1st Owner,"₹6,10,799"
2022,Tata,Tiago XT CNG 1.2 RTN,,"5,752 km",Petrol + CNGHR-29,1st Owner,"₹7,62,499"
2017,Tata,Hexa Varicor 400 XT 4X4,Manual,"95,384 km",DieselUP-16,1st Owner,"₹10,50,399"
2021,Tata,Tiago XT 1.2 REVOTRON,Manual,"2,608 km",PetrolDL-5C,1st Owner,"₹5,64,999"
2020,Tata,ALTROZ XZ 1.2,Manual,"26,416 km",PetrolDL-9C,1st Owner,"₹7,83,499"
2020,Tata,Tiago XE 1.2 REVOTRON,Manual,"20,212 km",PetrolDL-9C,1st Owner,"₹4,64,699"
2021,Tata,ALTROZ XZ 1.5 RTQ,,"39,940 km",DieselHR-26,1st Owner,"₹9,29,299"
2019,Tata,Tiago XZ 1.2 REVOTRON,Manual,"73,620 km",PetrolDL-3C,1st Owner,"₹4,91,699"
2021,Tata,ALTROZ XT 1.2,,"13,747 km",PetrolDL-5C,1st Owner,"₹6,94,299"
2019,Tata,NEXON XM 1.2,Manual,"53,787 km",PetrolHR-19,1st Owner,"₹6,66,999"
2018,Tata,Hexa Varicor 400 XMA,Automatic,"76,644 km",DieselDL-7C,1st Owner,"₹10,86,599"
2020,Tata,ALTROZ XZ (O) 1.2 RTN,,"17,554 km",PetrolHR-10,1st Owner,"₹8,14,499"
2020,Tata,Harrier XZ 2.0L Kryotec,Manual,"33,760 km",DieselUP-78,1st Owner,"₹12,52,099"
2019,Tata,Harrier XZ 2.0L Kryotec,Manual,"43,142 km",DieselUP-53,1st Owner,"₹12,59,599"
2021,Tata,ALTROZ XZ 1.2,Manual,"22,168 km",PetrolHR-26,1st Owner,"₹7,32,699"
2021,Tata,NEXON XZA + 1.2 PETROL A/T,Automatic,"17,742 km",PetrolDL-3C,1st Owner,"₹10,55,899"
2020,Tata,Tiago XT 1.2 REVOTRON,Manual,"2,732 km",PetrolDL-3C,1st Owner,"₹5,20,499"
2018,Tata,NEXON XZA+ 1.5,Automatic,"70,104 km",DieselHR-51,1st Owner,"₹7,37,899"
2020,Tata,ALTROZ XZ 1.2,Manual,"32,106 km",PetrolHR-19,1st Owner,"₹7,37,499"
2022,Tata,NEXON XZ+ KAZIRANGA 1.2 RTN,,"15,103 km",PetrolHR-26,1st Owner,"₹11,48,299"
2020,Tata,ALTROZ XZ 1.2,Manual,"15,011 km",PetrolDL-11,1st Owner,"₹7,97,999"
2018,Tata,NEXON XM 1.2,Manual,"22,725 km",PetrolDL-2C,1st Owner,"₹7,13,699"
2019,Tata,NEXON XM 1.2,Manual,"17,959 km",PetrolDL-11,1st Owner,"₹7,30,199"
2018,Tata,NEXON XMA 1.5,Manual,"78,374 km",DieselUP-14,1st Owner,"₹7,43,949"
2019,Tata,Harrier XZ 2.0L Kryotec,Manual,"31,328 km",DieselDL-9C,2nd Owner,"₹12,44,199"
2021,Tata,ALTROZ XT 1.2,,"9,936 km",PetrolDL-3C,1st Owner,"₹7,04,299"
2020,Tata,ALTROZ XZ 1.2,Manual,"18,544 km",PetrolDL-2C,1st Owner,"₹8,25,899"
2021,Tata,Harrier XZA  DUAL TONE,Automatic,"17,524 km",DieselUP-14,1st Owner,"₹18,32,299"
2019,Tata,NEXON XM 1.2,Manual,"20,490 km",PetrolDL-8C,1st Owner,"₹7,24,599"
2021,Tata,Tiago XZ 1.2 REVOTRON,Manual,"16,183 km",PetrolHR-26,1st Owner,"₹5,90,399"
2018,Tata,Hexa Varicor 400 XMA,Automatic,"67,729 km",DieselHR-26,2nd Owner,"₹11,24,899"
2018,Tata,Tiago XZA 1.2 REVOTRON,Automatic,"37,635 km",PetrolDL-10,2nd Owner,"₹5,18,099"
2021,Tata,NEXON XZA+ (O) 1.2 RTN,Automatic,"20,933 km",PetrolHR-26,1st Owner,"₹10,89,999"
2019,Tata,NEXON XZA + 1.2 PETROL A/T,Automatic,"26,642 km",PetrolDL-8C,1st Owner,"₹9,25,149"
2020,Tata,ALTROZ XZ 1.2,Manual,"23,603 km",PetrolDL-9C,1st Owner,"₹8,18,499"
2019,Tata,NEXON XZ+ 1.2,Manual,"30,534 km",PetrolDL-5C,1st Owner,"₹8,06,599"
2015,Hyundai,Elite i20 ASTA 1.2,Manual,"52,391 km",PetrolDL-8C,1st Owner,"₹5,61,399"
2017,Hyundai,Elite i20 ASTA 1.2,Manual,"84,581 km",PetrolDL-7C,1st Owner,"₹5,70,699"
2021,Maruti,XL6 ZETA SHVS,Manual,"36,951 km",PetrolUP-32,1st Owner,"₹9,89,299"
2017,Maruti,S Cross ZETA 1.3,Manual,"37,773 km",DieselDL-8C,1st Owner,"₹6,95,999"
2015,Hyundai,Elite i20 ASTA 1.2,Manual,"67,217 km",PetrolDL-8C,1st Owner,"₹4,88,099"
2015,Hyundai,Elite i20 ASTA 1.2,Manual,"56,564 km",PetrolDL-4C,2nd Owner,"₹5,50,799"
2019,Maruti,XL6 ZETA SHVS,Manual,"37,577 km",PetrolDL-5C,1st Owner,"₹8,71,599"
2015,Hyundai,Elite i20 ASTA 1.2,Manual,"40,969 km",PetrolDL-3C,1st Owner,"₹5,66,199"
2014,Hyundai,Elite i20 ASTA 1.2,Manual,"54,771 km",PetrolDL-10,2nd Owner,"₹4,71,899"
2021,Maruti,IGNIS ZETA 1.2 K12,Manual,"6,189 km",PetrolDL-9C,1st Owner,"₹6,28,599"
2019,Maruti,Baleno ZETA 1.2 K12,Manual,"53,447 km",PetrolDL-1C,1st Owner,"₹6,50,199"
2017,Maruti,Baleno ZETA 1.2 K12,Manual,"33,015 km",PetrolUP-16,1st Owner,"₹6,02,099"
2018,Maruti,Baleno ZETA 1.2 K12,Manual,"36,411 km",PetrolHR-26,1st Owner,"₹6,33,299"
2018,Maruti,IGNIS ZETA 1.2 K12,Manual,"45,876 km",PetrolDL-8C,1st Owner,"₹4,94,099"
2018,Maruti,S Cross ZETA 1.3 SHVS,Manual,"22,938 km",DieselDL-8C,1st Owner,"₹8,24,299"
2016,Hyundai,Elite i20 ASTA 1.2 (O),Manual,"37,239 km",PetrolDL-8C,1st Owner,"₹6,03,899"
2017,Hyundai,Elite i20 ASTA 1.2 (O),Manual,"89,784 km",Petrol + CNGHR-26,1st Owner,"₹6,35,199"
2019,Maruti,Baleno ZETA PETROL 1.2,,"31,803 km",PetrolHR-26,1st Owner,"₹7,10,099"
2020,Mahindra,XUV 3OO 1.2 W6 MT,,"30,557 km",PetrolDL-10,1st Owner,"₹9,26,199"
2019,Mahindra,XUV 3OO W8(O),Manual,"84,472 km",DieselDL-8C,1st Owner,"₹8,69,999"
2019,Mahindra,XUV 3OO 1.5 W6 MT,Manual,"40,883 km",DieselUP-14,1st Owner,"₹8,61,199"
2022,Mahindra,XUV 3OO 1.2 W6 AT,,"22,158 km",PetrolDL-1C,1st Owner,"₹10,63,499"
2018,Mahindra,KUV 100 NXT K2 D 6S,Manual,"65,179 km",DieselDL-10,1st Owner,"₹4,42,899"
2020,Mahindra,KUV 100 NXT K8 6 STR,Manual,"26,674 km",PetrolDL-8C,1st Owner,"₹6,94,399"
2021,KIA,SELTOS HTE 1.5 MT DIESEL,Manual,"29,792 km",DieselUP-32,1st Owner,"₹10,37,299"
2021,Maruti,Vitara Brezza ZXI +,Manual,"15,363 km",PetrolUP-32,1st Owner,"₹9,56,299"
2019,Hyundai,Creta 1.6 SX VTVT,Manual,"15,440 km",PetrolUP-32,1st Owner,"₹11,03,599"
2019,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"27,076 km",DieselHR-51,1st Owner,"₹8,13,199"
2018,Tata,NEXON XT1.5,Manual,"75,679 km",DieselHR-10,1st Owner,"₹6,94,499"
2020,Mahindra,Scorpio S11,Manual,"56,696 km",DieselUP-32,1st Owner,"₹14,79,299"
2017,Ford,Ecosport 1.5 TREND TI VCT,Manual,"64,882 km",PetrolDL-12,1st Owner,"₹5,92,399"
2021,Maruti,Vitara Brezza ZXI +,Manual,"9,715 km",PetrolDL-2C,1st Owner,"₹9,67,899"
2019,Tata,Harrier XM 2.0L Kryotec,Manual,"49,212 km",DieselHR-26,1st Owner,"₹12,17,599"
2019,Maruti,Vitara Brezza ZDI PLUS,Manual,"51,808 km",DieselHR-76,1st Owner,"₹8,70,199"
2018,Hyundai,Creta 1.6 SX AT CRDI,Automatic,"39,372 km",DieselHR-26,1st Owner,"₹12,65,799"
2017,Maruti,Vitara Brezza ZDI PLUS,Manual,"75,758 km",DieselDL-2C,2nd Owner,"₹6,45,099"
2016,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"80,818 km",PetrolUP-16,1st Owner,"₹5,61,199"
2019,Maruti,Ertiga VXI SMART HYBRID,Manual,"37,215 km",PetrolDL-12,1st Owner,"₹9,13,299"
2016,Mahindra,Scorpio S10,Manual,"43,912 km",DieselDL-12,1st Owner,"₹9,90,599"
2020,Tata,Harrier XZ DARK EDITION,Manual,"28,625 km",DieselHR-26,2nd Owner,"₹14,83,799"
2018,Maruti,S Cross SIGMA SHVS,Manual,"67,477 km",DieselDL-8C,1st Owner,"₹6,83,599"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"59,371 km",PetrolUP-53,1st Owner,"₹6,79,299"
2017,Renault,Duster RXZ AMT 110 PS,Automatic,"89,537 km",DieselUP-14,2nd Owner,"₹6,85,799"
2018,Hyundai,Creta 1.6 E + VTVT,Manual,"35,173 km",PetrolDL-12,1st Owner,"₹9,23,499"
2021,Renault,TRIBER RXZ AT,Automatic,"10,682 km",PetrolDL-12,1st Owner,"₹7,46,999"
2020,Mahindra,XUV500 W5,Manual,"19,365 km",DieselUP-14,1st Owner,"₹12,21,399"
2021,Tata,NEXON XZ+ 1.5,Manual,"7,082 km",DieselUP-16,1st Owner,"₹11,64,899"
2019,Maruti,Vitara Brezza ZDI AMT,Automatic,"31,588 km",DieselDL-8C,1st Owner,"₹9,33,499"
2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"39,340 km",PetrolHR-29,2nd Owner,"₹6,97,599"
2019,Maruti,Vitara Brezza ZDI,Manual,"56,490 km",DieselUP-16,1st Owner,"₹8,39,849"
2019,Tata,NEXON XMA 1.5,Manual,"93,992 km",DieselDL-8C,1st Owner,"₹6,58,799"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"11,988 km",PetrolUP-16,1st Owner,"₹15,80,399"
2018,Maruti,S Cross ALPHA SHVS,Manual,"13,730 km",DieselDL-8C,1st Owner,"₹11,15,299"
2020,MG,HECTOR SHARP DCT PETROL,Automatic,"26,950 km",PetrolUP-65,2nd Owner,"₹16,03,399"
2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"64,774 km",DieselUP-16,1st Owner,"₹7,14,299"
2018,Hyundai,Creta 1.6 SX CRDI,Manual,"41,223 km",DieselDL-3C,1st Owner,"₹9,52,199"
2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"57,244 km",PetrolHR-51,1st Owner,"₹9,40,999"
2018,Mahindra,XUV500 W11 (O) AT,Automatic,"55,280 km",DieselHR-26,2nd Owner,"₹13,81,899"
2021,Maruti,Vitara Brezza ZXI +,Manual,"15,363 km",PetrolUP-32,1st Owner,"₹9,56,299"
2019,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"27,076 km",DieselHR-51,1st Owner,"₹8,13,199"
2018,Tata,NEXON XT1.5,Manual,"75,679 km",DieselHR-10,1st Owner,"₹6,94,499"
2019,Hyundai,Creta 1.6 SX VTVT,Manual,"15,440 km",PetrolUP-32,1st Owner,"₹11,03,599"
2020,Mahindra,Scorpio S11,Manual,"56,696 km",DieselUP-32,1st Owner,"₹14,79,299"
2021,KIA,SELTOS HTE 1.5 MT DIESEL,Manual,"29,792 km",DieselUP-32,1st Owner,"₹10,37,299"
2021,Renault,TRIBER RXZ AT,Automatic,"10,682 km",PetrolDL-12,1st Owner,"₹7,46,999"
2020,Mahindra,XUV500 W5,Manual,"19,365 km",DieselUP-14,1st Owner,"₹12,21,399"
2021,Tata,NEXON XZ+ 1.5,Manual,"7,082 km",DieselUP-16,1st Owner,"₹11,64,899"
2019,Maruti,Vitara Brezza ZDI AMT,Automatic,"31,588 km",DieselDL-8C,1st Owner,"₹9,33,499"
2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"39,340 km",PetrolHR-29,2nd Owner,"₹6,97,599"
2019,Maruti,Vitara Brezza ZDI,Manual,"56,490 km",DieselUP-16,1st Owner,"₹8,39,849"
2018,Maruti,S Cross ALPHA SHVS,Manual,"13,730 km",DieselDL-8C,1st Owner,"₹11,15,299"
2020,MG,HECTOR SHARP DCT PETROL,Automatic,"26,950 km",PetrolUP-65,2nd Owner,"₹16,03,399"
2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"64,774 km",DieselUP-16,1st Owner,"₹7,14,299"
2018,Hyundai,Creta 1.6 SX CRDI,Manual,"41,223 km",DieselDL-3C,1st Owner,"₹9,52,199"
2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"57,244 km",PetrolHR-51,1st Owner,"₹9,40,999"
2018,Mahindra,XUV500 W11 (O) AT,Automatic,"55,280 km",DieselHR-26,2nd Owner,"₹13,81,899"
2022,Renault,Duster RXZ 1.3 TURBO MT,Manual,"7,069 km",PetrolHR-98,1st Owner,"₹13,11,999"
2015,Renault,Duster 85 PS RXE DIESEL ADVENTURE,Manual,"65,738 km",DieselDL-8C,1st Owner,"₹4,56,599"
2021,Renault,TRIBER RXZ AT,Automatic,"10,682 km",PetrolDL-12,1st Owner,"₹7,46,999"
2020,Mahindra,XUV500 W5,Manual,"19,365 km",DieselUP-14,1st Owner,"₹12,21,399"
2021,Tata,NEXON XZ+ 1.5,Manual,"7,082 km",DieselUP-16,1st Owner,"₹11,64,899"
2019,Maruti,Vitara Brezza ZDI AMT,Automatic,"31,588 km",DieselDL-8C,1st Owner,"₹9,33,499"
2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"39,340 km",PetrolHR-29,2nd Owner,"₹6,97,599"
2019,Maruti,Vitara Brezza ZDI,Manual,"56,490 km",DieselUP-16,1st Owner,"₹8,39,849"
2019,Tata,NEXON XMA 1.5,Manual,"93,992 km",DieselDL-8C,1st Owner,"₹6,58,799"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"11,988 km",PetrolUP-16,1st Owner,"₹15,80,399"
2018,Maruti,S Cross ALPHA SHVS,Manual,"13,730 km",DieselDL-8C,1st Owner,"₹11,15,299"
2020,MG,HECTOR SHARP DCT PETROL,Automatic,"26,950 km",PetrolUP-65,2nd Owner,"₹16,03,399"
2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"64,774 km",DieselUP-16,1st Owner,"₹7,14,299"
2018,Hyundai,Creta 1.6 SX CRDI,Manual,"41,223 km",DieselDL-3C,1st Owner,"₹9,52,199"
2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"57,244 km",PetrolHR-51,1st Owner,"₹9,40,999"
2018,Mahindra,XUV500 W11 (O) AT,Automatic,"55,280 km",DieselHR-26,2nd Owner,"₹13,81,899"
2022,Renault,Duster RXZ 1.3 TURBO MT,Manual,"7,069 km",PetrolHR-98,1st Owner,"₹13,11,999"
2015,Renault,Duster 85 PS RXE DIESEL ADVENTURE,Manual,"65,738 km",DieselDL-8C,1st Owner,"₹4,56,599"
2019,Maruti,Ertiga ZXI Plus SHVS,Manual,"20,707 km",PetrolDL-6C,1st Owner,"₹9,93,099"
2022,Tata,NEXON XZ+ 1.5,Manual,"10,412 km",DieselHR-26,1st Owner,"₹12,07,299"
2017,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"49,469 km",PetrolDL-12,2nd Owner,"₹10,48,299"
2017,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"38,524 km",PetrolHR-26,1st Owner,"₹7,36,199"
2019,Maruti,Ertiga VXI SMART HYBRID,Manual,"37,215 km",PetrolDL-12,1st Owner,"₹9,13,299"
2016,Mahindra,Scorpio S10,Manual,"43,912 km",DieselDL-12,1st Owner,"₹9,90,599"
2020,Tata,Harrier XZ DARK EDITION,Manual,"28,625 km",DieselHR-26,2nd Owner,"₹14,83,799"
2019,Tata,Harrier XM 2.0L Kryotec,Manual,"49,212 km",DieselHR-26,1st Owner,"₹12,17,599"
2018,Maruti,S Cross SIGMA SHVS,Manual,"67,477 km",DieselDL-8C,1st Owner,"₹6,83,599"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"59,371 km",PetrolUP-53,1st Owner,"₹6,79,299"
2017,Renault,Duster RXZ AMT 110 PS,Automatic,"89,537 km",DieselUP-14,2nd Owner,"₹6,85,799"
2020,Hyundai,Creta E,Manual,"62,128 km",DieselUP-32,1st Owner,"₹10,70,899"
2021,Mahindra,Thar LX  4WD AT CONVERTIBLE,Automatic,"18,128 km",PetrolHR-21,1st Owner,"₹16,31,699"
2020,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"30,227 km",PetrolHR-10,2nd Owner,"₹8,44,599"
